1,0.100000000000000006,128,1,8,16,8,7,7,7,5,0.0453,0.101800000000000002,0.0175000000000000017,0.0575000000000000025,0.0160000000000000003,0.0548999999999999974,0.0120999999999999996,0.0470000000000000001,0.0120000000000000002,0.046199999999999998,0.0103999999999999995,0.0444999999999999979,0.0100999999999999996,0.0412000000000000005,0.00889999999999999993,0.0403999999999999984,0.0086999999999999994,0.0376000000000000015,0.00889999999999999993,0.0345000000000000029,0.00419999999999999974,0.0223000000000000004
1,0.0500000000000000028,128,8,8,8,1,3,5,7,7,0.0286000000000000004,0.0840000000000000052,0.0100999999999999996,0.041700000000000001,0.00940000000000000037,0.0395000000000000004,0.00779999999999999964,0.0328999999999999987,0.00710000000000000041,0.0330000000000000016,0.00630000000000000004,0.0320000000000000007,0.00589999999999999986,0.0294999999999999984,0.00549999999999999968,0.0294999999999999984,0.00540000000000000029,0.0275999999999999995,0.00489999999999999984,0.0251000000000000008,0.00220000000000000013,0.0162999999999999985
2,0.0100000000000000002,32,4,8,16,8,3,7,7,7,0.0238000000000000017,0.0682999999999999996,0.00600000000000000012,0.0286999999999999998,0.00540000000000000029,0.0274000000000000007,0.00379999999999999999,0.0225999999999999986,0.00370000000000000016,0.0218999999999999993,0.0028999999999999998,0.0188000000000000007,0.00279999999999999997,0.0188000000000000007,0.00229999999999999996,0.0166999999999999996,0.00229999999999999996,0.0168999999999999984,0.00200000000000000004,0.0155999999999999993,0.000778390000000000006,0.00949999999999999976
3,0.00100000000000000002,1024,8,4,1,8,7,7,3,5,0.0811999999999999944,0.132700000000000012,0.0485999999999999974,0.112699999999999995,0.0273000000000000013,0.0870999999999999969,0.0315000000000000002,0.0776000000000000023,0.0149,0.0558000000000000024,0.0189999999999999995,0.0575999999999999984,0.0100000000000000002,0.0422999999999999973,0.0123999999999999996,0.0447999999999999995,0.00770000000000000025,0.0355999999999999997,0.00899999999999999932,0.0367999999999999994,0.00179999999999999995,0.0140000000000000003
3,0.0100000000000000002,32,16,8,16,1,5,7,7,3,0.111899999999999999,0.130599999999999994,0.111399999999999999,0.13020000000000001,0.112000000000000002,0.130599999999999994,0.111399999999999999,0.13020000000000001,0.112100000000000005,0.1308,0.111399999999999999,0.13020000000000001,0.111600000000000005,0.13020000000000001,0.111399999999999999,0.13020000000000001,0,0,0,0,0.114000000000000004,0.132500000000000007
2,0.0500000000000000028,128,8,8,4,8,5,5,3,3,0.0376999999999999974,0.0786000000000000032,0.00919999999999999984,0.0396999999999999992,0.00689999999999999988,0.0313999999999999974,0.00479999999999999958,0.0246999999999999997,0.00440000000000000027,0.0235999999999999995,0.0035999999999999999,0.0204000000000000015,0.00339999999999999981,0.0198000000000000016,0.0028999999999999998,0.0181000000000000015,0.00279999999999999997,0.0176000000000000011,0.00250000000000000005,0.0162999999999999985,0.00110000000000000007,0.00959999999999999916
1,0.0100000000000000002,128,1,4,4,16,3,5,7,7,0.105700000000000002,0.148400000000000004,0.0956999999999999934,0.178799999999999987,0.093299999999999994,0.184299999999999992,0.0842999999999999999,0.188400000000000012,0.0803999999999999992,0.183700000000000002,0.0689000000000000029,0.1628,0.0659000000000000002,0.154799999999999993,0.0609999999999999987,0.140100000000000002,0.0590999999999999998,0.135199999999999987,0.0560000000000000012,0.126400000000000012,0.0239000000000000011,0.0637999999999999956
3,0.0100000000000000002,1024,16,4,8,1,7,5,7,3,0.109899999999999998,0.155700000000000005,0.0948999999999999982,0.227099999999999996,0.0913000000000000062,0.211799999999999988,0.0323000000000000023,0.086900000000000005,0.0175000000000000017,0.0546999999999999986,0.0214999999999999983,0.0587999999999999981,0.00679999999999999962,0.0307000000000000016,0.0173999999999999988,0.0514999999999999972,0.00659999999999999996,0.0294999999999999984,0.00670000000000000023,0.0304999999999999993,0.00200000000000000004,0.0145000000000000007
3,0.100000000000000006,128,16,1,16,1,5,3,7,7,10135.2052000000003,10.4420999999999999,0.111399999999999999,0.13020000000000001,0.112299999999999997,0.130899999999999989,0.111399999999999999,0.13020000000000001,0.112100000000000005,0.130700000000000011,0.111399999999999999,0.13020000000000001,0.112100000000000005,0.1308,0.111399999999999999,0.13020000000000001,0,0,0,0,0.114000000000000004,0.132500000000000007
3,0.0500000000000000028,1024,16,8,4,4,7,3,7,5,3.27610000000000001,0.35299999999999998,0.111399999999999999,0.13020000000000001,0.112000000000000002,0.130599999999999994,0.111399999999999999,0.13020000000000001,0.112100000000000005,0.130700000000000011,0.111399999999999999,0.13020000000000001,0.112000000000000002,0.130700000000000011,0.111399999999999999,0.13020000000000001,0,0,0,0,0.114000000000000004,0.132500000000000007
3,0.0500000000000000028,128,4,16,16,1,5,7,7,7,1309.40940000000001,4.00100000000000033,0.111399999999999999,0.13020000000000001,0.112000000000000002,0.130700000000000011,0.111399999999999999,0.13020000000000001,0.112199999999999994,0.1308,0.111399999999999999,0.13020000000000001,0.112000000000000002,0.130599999999999994,0.111399999999999999,0.13020000000000001,0,0,0,0,0.114000000000000004,0.132500000000000007
2,0.0100000000000000002,1024,8,4,1,4,7,7,5,5,0.104899999999999993,0.148999999999999994,0.0796999999999999931,0.160799999999999998,0.0711999999999999994,0.1439,0.0616999999999999979,0.1129,0.0546000000000000027,0.106300000000000006,0.0541000000000000023,0.0991999999999999965,0.0487000000000000002,0.0941000000000000031,0.0485999999999999974,0.0892000000000000015,0.0451000000000000012,0.0855999999999999955,0.0449000000000000024,0.0825000000000000039,0.0342999999999999972,0.0587000000000000022
3,0.0500000000000000028,1024,16,4,16,8,5,5,5,5,2140.23340000000007,8.10200000000000031,0.111399999999999999,0.13020000000000001,0.112000000000000002,0.130599999999999994,0.111399999999999999,0.13020000000000001,0.112199999999999994,0.130899999999999989,0.111399999999999999,0.13020000000000001,0.112199999999999994,0.130899999999999989,0.111399999999999999,0.13020000000000001,0,0,0,0,0.114000000000000004,0.132500000000000007
3,0.00100000000000000002,128,8,16,8,16,7,5,7,3,0.0218999999999999993,0.0604999999999999982,0.00229999999999999996,0.0166000000000000002,0.00200000000000000004,0.0155999999999999993,0.00139999999999999999,0.0126000000000000001,0.00119999999999999989,0.0117000000000000003,0.00100000000000000002,0.0102000000000000007,0.000941630000000000049,0.0100999999999999996,0.000914079999999999949,0.0103999999999999995,0.000799499999999999972,0.00919999999999999984,0.000773570000000000008,0.00940000000000000037,0.000248069999999999975,0.00489999999999999984
3,0.0100000000000000002,1024,4,1,16,16,3,7,7,7,0.101800000000000002,0.203399999999999997,0.0882000000000000006,0.209699999999999998,0.0873000000000000026,0.20480000000000001,0.0845999999999999946,0.191799999999999998,0.0849000000000000032,0.18909999999999999,0.0845999999999999946,0.188900000000000012,0.0848000000000000004,0.188500000000000001,0.0845999999999999946,0.185299999999999992,0.0849000000000000032,0.188799999999999996,0.0845000000000000057,0.187099999999999989,0.086099999999999996,0.188700000000000007
